State - Place,Year,Population,LikithVinayaka - Rank
 LA - Shreveport,1990,198525,77
 MS - Jackson,1990,196637,78
 AL - Mobile,1990,196278,79
 IA - Des Moines,1990,193187,80
 NE - Lincoln,1990,191972,81
 WI - Madison,1990,191262,82
 MI - Grand Rapids,1990,189126,83
 NY - Yonkers,1990,188082,84
 FL - Hialeah,1990,188004,85
 AL - Montgomery,1990,187106,86
 TX - Lubbock,1990,186206,87
 NC - Greensboro,1990,183521,88
 OH - Dayton,1990,182044,89
 CA - Huntington Beach,1990,181519,90
 TX - Garland,1990,180650,91
 CA - Glendale,1990,180038,92
 GA - Columbus,1990,178681,93
 WA - Spokane,1990,177196,94
 WA - Tacoma,1990,176664,95
 AR - Little Rock,1990,175795,96
 CA - Bakersfield,1990,174820,97
 CA - Fremont,1990,173339,98
 IN - Fort Wayne,1990,173072,99
 VA - Arlington,1990,170936,100
 NY - New York City,1980,7071639,1
 CA - Los Angeles,1980,2966850,2
 IL - Chicago,1980,3005072,3
 TX - Houston,1980,1595138,4
 PA - Philadelphia,1980,1688210,5
 CA - San Diego,1980,875538,6
 MI - Detroit,1980,1203339,7
 TX - Dallas,1980,904078,8
 AZ - Phoenix,1980,789704,9
 TX - San Antonio,1980,785880,10
 CA - San Jose,1980,629442,11
 MD - Baltimore,1980,786775,12
 IN - Indianapolis,1980,700807,13
 CA - San Francisco,1980,678974,14
 FL - Jacksonville,1980,540920,15
 OH - Columbus,1980,564871,16
 WI - Milwaukee,1980,636212,17
 TN - Memphis,1980,646356,18
 DC - Washington,1980,638333,19
 MA - Boston,1980,562994,20
 WA - Seattle,1980,493846,21
 TX - El Paso,1980,425259,22
 OH - Cleveland,1980,573822,23
 LA - New Orleans,1980,557515,24
 TN - Nashville-Davidson,1980,455651,25
 CO - Denver,1980,492365,26
 TX - Austin,1980,345496,27
 TX - Fort Worth,1980,385164,28
 OK - Oklahoma City,1980,403213,29
 OR - Portland,1980,366383,30
 MO - Kansas City,1980,448159,31
 CA - Long Beach,1980,361334,32
 AZ - Tucson,1980,330537,33
 MO - St. Louis,1980,453085,34
 NC - Charlotte,1980,314447,35
 GA - Atlanta,1980,425022,36
 VA - Virginia Beach,1980,262199,37
 NM - Albuquerque,1980,331767,38
 CA - Oakland,1980,339337,39
 PA - Pittsburgh,1980,423938,40
 CA - Sacramento,1980,275741,41
 MN - Minneapolis,1980,370951,42
 OK - Tulsa,1980,360919,43
 HI - Honolulu,1980,365048,44
 OH - Cincinnati,1980,385457,45
 FL - Miami,1980,346865,46
 CA - Fresno,1980,218202,47
 NE - Omaha,1980,314255,48
 OH - Toledo,1980,354635,49
 NY - Buffalo,1980,357870,50
 KS - Wichita,1980,279272,51
 CA - Santa Ana,1980,203713,52
 CO - Colorado Springs,1980,215150,53
 FL - Tampa,1980,271523,54
 NJ - Newark,1980,329248,55
 MN - Saint Paul,1980,270230,56
 KY - Louisville,1980,298451,57
 CA - Anaheim,1980,219311,58
 AL - Birmingham,1980,284413,59
 TX - Arlington,1980,160113,60
 VA - Norfolk,1980,266979,61
 NV - Las Vegas,1980,164674,62
 TX - Corpus Christi,1980,231999,63
 FL - St. Petersburg,1980,238647,64
 NY - Rochester,1980,241741,65
 NJ - Jersey City,1980,223532,66
 CA - Riverside,1980,170876,67
 AK - Anchorage,1980,174431,68
 KY - Lexington,1980,204165,69
 OH - Akron,1980,237177,70
 CO - Aurora,1980,158588,71
 LA - Baton Rouge,1980,219419,72
 VA - Richmond,1980,219214,73
 LA - Shreveport,1980,205820,74
 MS - Jackson,1980,202895,75
 AL - Mobile,1980,200452,76
 IA - Des Moines,1980,191003,77
 NE - Lincoln,1980,171932,78
 WI - Madison,1980,170616,79
 MI - Grand Rapids,1980,181843,80
 NY - Yonkers,1980,195351,81
 AL - Montgomery,1980,177857,82
 TX - Lubbock,1980,173979,83
 OH - Dayton,1980,203371,84
 CA - Huntington Beach,1980,170505,85
 GA - Columbus,1980,169441,86
 WA - Spokane,1980,171300,87
 WA - Tacoma,1980,158501,88
 AR - Little Rock,1980,158461,89
 IN - Fort Wayne,1980,172196,90
 TN - Knoxville,1980,175030,91
 NY - Syracuse,1980,170105,92
 TN - Chattanooga,1980,169565,93
 LA - Metairie,1980,164160,94
 UT - Salt Lake City,1980,163033,95
 MA - Worcester,1980,161799,96
 MI - Warren,1980,161134,97
 KS - Kansas City,1980,161087,98
 MI - Flint,1980,159611,99
 RI - Providence,1980,156804,100
 NY - New York City,1970,7894862,1
 CA - Los Angeles,1970,2816061,2
 IL - Chicago,1970,3366957,3
 TX - Houston,1970,1232802,4
 PA - Philadelphia,1970,1948609,5
 CA - San Diego,1970,696769,6
 MI - Detroit,1970,1511482,7
 TX - Dallas,1970,844401,8
 AZ - Phoenix,1970,581562,9
 TX - San Antonio,1970,654153,10
 CA - San Jose,1970,445779,11
 MD - Baltimore,1970,905759,12
 IN - Indianapolis,1970,744624,13
 CA - San Francisco,1970,715674,14
 FL - Jacksonville,1970,528865,15
 OH - Columbus,1970,539677,16
 WI - Milwaukee,1970,717099,17
 TN - Memphis,1970,623530,18
 DC - Washington,1970,756510,19
 MA - Boston,1970,641071,20
 WA - Seattle,1970,530831,21
 TX - El Paso,1970,322261,22
 OH - Cleveland,1970,750903,23
 LA - New Orleans,1970,593471,24
 TN - Nashville-Davidson,1970,448003,25
 CO - Denver,1970,514678,26
 TX - Austin,1970,251808,27
 TX - Fort Worth,1970,393476,28
 OK - Oklahoma City,1970,366481,29
 OR - Portland,1970,382619,30
 MO - Kansas City,1970,507087,31
 CA - Long Beach,1970,358633,32
 AZ - Tucson,1970,262933,33
 MO - St. Louis,1970,622236,34
 NC - Charlotte,1970,241178,35
 GA - Atlanta,1970,496973,36
 VA - Virginia Beach,1970,172106,37
 NM - Albuquerque,1970,243751,38
 CA - Oakland,1970,361561,39
 PA - Pittsburgh,1970,520117,40
 CA - Sacramento,1970,254413,41
 MN - Minneapolis,1970,434400,42
 OK - Tulsa,1970,331638,43
 HI - Honolulu,1970,324871,44
 OH - Cincinnati,1970,452524,45
 FL - Miami,1970,334859,46
 CA - Fresno,1970,165972,47
 NE - Omaha,1970,347328,48
 OH - Toledo,1970,383818,49
 NY - Buffalo,1970,462768,50
 KS - Wichita,1970,276554,51
 CA - Santa Ana,1970,156601,52
 FL - Tampa,1970,277767,53
 NJ - Newark,1970,382417,54
 MN - Saint Paul,1970,309980,55
 KY - Louisville,1970,361472,56
 CA - Anaheim,1970,166701,57
 AL - Birmingham,1970,300910,58
 VA - Norfolk,1970,307951,59
 TX - Corpus Christi,1970,204525,60
 FL - St. Petersburg,1970,216232,61
 NY - Rochester,1970,296233,62
 NJ - Jersey City,1970,260545,63
 CA - Riverside,1970,140089,64
 OH - Akron,1970,275425,65
 LA - Baton Rouge,1970,165963,66
 VA - Richmond,1970,249621,67
 LA - Shreveport,1970,182064,68
 MS - Jackson,1970,153968,69
 AL - Mobile,1970,190026,70
 IA - Des Moines,1970,200587,71
 NE - Lincoln,1970,149518,72
 WI - Madison,1970,173258,73
 MI - Grand Rapids,1970,197649,74
 NY - Yonkers,1970,204297,75
 TX - Lubbock,1970,149101,76
 NC - Greensboro,1970,144076,77
 OH - Dayton,1970,243601,78
 GA - Columbus,1970,154168,79
 WA - Spokane,1970,170516,80
 WA - Tacoma,1970,154581,81
 IN - Fort Wayne,1970,177671,82
 VA - Arlington,1970,174284,83
 TN - Knoxville,1970,174587,84
 NY - Syracuse,1970,197208,85
 UT - Salt Lake City,1970,175885,86
 MA - Worcester,1970,176572,87
 MI - Warren,1970,179260,88
 KS - Kansas City,1970,168213,89
 MI - Flint,1970,193317,90
 RI - Providence,1970,179213,91
 IN - Gary,1970,175415,92
 MA - Springfield,1970,163905,93
 CT - Hartford,1970,158017,94
 CT - Bridgeport,1970,156542,95
 IL - Rockford,1970,147370,96
 NJ - Paterson,1970,144824,97
 OH - Youngstown,1970,139788,98
 FL - Fort Lauderdale,1970,139590,99
 IN - Evansville,1970,138764,100
 NY - New York City,1960,7781984,1
 CA - Los Angeles,1960,2479015,2
 IL - Chicago,1960,3550404,3
 TX - Houston,1960,938219,4
 PA - Philadelphia,1960,2002512,5
 CA - San Diego,1960,573224,6
 MI - Detroit,1960,1670144,7
 TX - Dallas,1960,679684,8
 AZ - Phoenix,1960,439170,9
 TX - San Antonio,1960,587718,10
 CA - San Jose,1960,204196,11
 MD - Baltimore,1960,939024,12
 IN - Indianapolis,1960,476258,13
 CA - San Francisco,1960,740316,14
 FL - Jacksonville,1960,201030,15
 OH - Columbus,1960,471316,16
 WI - Milwaukee,1960,741324,17
 TN - Memphis,1960,497524,18
 DC - Washington,1960,763956,19
 MA - Boston,1960,697197,20
 WA - Seattle,1960,557087,21
 TX - El Paso,1960,276687,22
 OH - Cleveland,1960,876050,23
 LA - New Orleans,1960,627525,24
 CO - Denver,1960,493887,25
 TX - Austin,1960,186545,26
 TX - Fort Worth,1960,356268,27
 OK - Oklahoma City,1960,324253,28
 OR - Portland,1960,372676,29
 MO - Kansas City,1960,475539,30
 CA - Long Beach,1960,344168,31
 AZ - Tucson,1960,212892,32
 MO - St. Louis,1960,750026,33
 NC - Charlotte,1960,201564,34
 GA - Atlanta,1960,487455,35
 NM - Albuquerque,1960,201189,36
 CA - Oakland,1960,367548,37
 PA - Pittsburgh,1960,604332,38
 CA - Sacramento,1960,191667,39
 MN - Minneapolis,1960,482872,40
 OK - Tulsa,1960,261685,41
 HI - Honolulu,1960,294194,42
 OH - Cincinnati,1960,502550,43
 FL - Miami,1960,291688,44
 CA - Fresno,1960,133929,45
 NE - Omaha,1960,301598,46
 OH - Toledo,1960,318003,47
 NY - Buffalo,1960,532759,48
 KS - Wichita,1960,254698,49
 FL - Tampa,1960,274970,50
 NJ - Newark,1960,405220,51
 MN - Saint Paul,1960,313411,52
 KY - Louisville,1960,390639,53
 AL - Birmingham,1960,340887,54
 VA - Norfolk,1960,305872,55
 TX - Corpus Christi,1960,167690,56
 FL - St. Petersburg,1960,181298,57
 NY - Rochester,1960,318611,58
 NJ - Jersey City,1960,276101,59
 OH - Akron,1960,290351,60
 LA - Baton Rouge,1960,152419,61
 VA - Richmond,1960,219958,62
 LA - Shreveport,1960,164372,63
 MS - Jackson,1960,144422,64
 AL - Mobile,1960,202779,65
 IA - Des Moines,1960,208982,66
 NE - Lincoln,1960,128521,67
 WI - Madison,1960,126706,68
 MI - Grand Rapids,1960,177313,69
 NY - Yonkers,1960,190634,70
 AL - Montgomery,1960,134393,71
 TX - Lubbock,1960,128691,72
 NC - Greensboro,1960,119574,73
 OH - Dayton,1960,262332,74
 WA - Spokane,1960,181608,75
 IN - Fort Wayne,1960,161776,76
 VA - Arlington,1960,163401,77
 NY - Syracuse,1960,216038,78
 TN - Chattanooga,1960,130009,79
 UT - Salt Lake City,1960,189454,80
 MA - Worcester,1960,186587,81
 KS - Kansas City,1960,121901,82
 MI - Flint,1960,196940,83
 RI - Providence,1960,207498,84
 IN - Gary,1960,178320,85
 MA - Springfield,1960,174463,86
 CT - Hartford,1960,162178,87
 CT - Bridgeport,1960,156748,88
 IL - Rockford,1960,126706,89
 NJ - Paterson,1960,143663,90
 OH - Youngstown,1960,166689,91
 IN - Evansville,1960,141543,92
 TN - Nashville,1960,170874,93
 CT - New Haven,1960,152048,94
 PA - Erie,1960,138440,95
 TX - Amarillo,1960,137969,96
 IN - South Bend,1960,132445,97
 NY - Albany,1960,129726,98
 NY - New York City,1950,7891957,1
 CA - Los Angeles,1950,1970358,2
 IL - Chicago,1950,3620962,3
 TX - Houston,1950,596163,4
 PA - Philadelphia,1950,2071605,5
 CA - San Diego,1950,334387,6
 MI - Detroit,1950,1849568,7
 TX - Dallas,1950,434462,8
 AZ - Phoenix,1950,106818,9
 TX - San Antonio,1950,408442,10
 MD - Baltimore,1950,949708,11
 IN - Indianapolis,1950,427173,12
 CA - San Francisco,1950,775357,13
 FL - Jacksonville,1950,204517,14
 OH - Columbus,1950,375901,15
 WI - Milwaukee,1950,637392,16
 TN - Memphis,1950,396000,17
 DC - Washington,1950,802178,18
 MA - Boston,1950,801444,19
 WA - Seattle,1950,467591,20
 TX - El Paso,1950,130485,21
 OH - Cleveland,1950,914808,22
 LA - New Orleans,1950,570445,23
 CO - Denver,1950,415786,24
 TX - Austin,1950,132459,25
 TX - Fort Worth,1950,278778,26
 OK - Oklahoma City,1950,243504,27
 OR - Portland,1950,373628,28
 MO - Kansas City,1950,456622,29
 CA - Long Beach,1950,250767,30
 MO - St. Louis,1950,856796,31
 NC - Charlotte,1950,134042,32
 GA - Atlanta,1950,331314,33
 CA - Oakland,1950,384575,34
 PA - Pittsburgh,1950,676806,35
 CA - Sacramento,1950,137572,36
 MN - Minneapolis,1950,521718,37
 OK - Tulsa,1950,182740,38
 OH - Cincinnati,1950,503998,39
 FL - Miami,1950,249276,40
 NE - Omaha,1950,251117,41
 OH - Toledo,1950,303616,42
 NY - Buffalo,1950,580132,43
 KS - Wichita,1950,168279,44
 FL - Tampa,1950,124681,45
 NJ - Newark,1950,438776,46
 MN - Saint Paul,1950,311349,47
 KY - Louisville,1950,369129,48
 AL - Birmingham,1950,326037,49
 VA - Norfolk,1950,213513,50
 TX - Corpus Christi,1950,108287,51
 NY - Rochester,1950,332488,52
 NJ - Jersey City,1950,299017,53
 OH - Akron,1950,274605,54
 LA - Baton Rouge,1950,125629,55
 VA - Richmond,1950,230310,56
 LA - Shreveport,1950,127206,57
 AL - Mobile,1950,129009,58
 IA - Des Moines,1950,177965,59
 MI - Grand Rapids,1950,176515,60
 NY - Yonkers,1950,152798,61
 OH - Dayton,1950,243872,62
 WA - Spokane,1950,161721,63
 WA - Tacoma,1950,143673,64
 IN - Fort Wayne,1950,133607,65
 VA - Arlington,1950,135449,66
 TN - Knoxville,1950,124769,67
 NY - Syracuse,1950,220583,68
 TN - Chattanooga,1950,131041,69
 UT - Salt Lake City,1950,182121,70
 MA - Worcester,1950,203486,71
 KS - Kansas City,1950,129553,72
 MI - Flint,1950,163143,73
 RI - Providence,1950,248674,74
 IN - Gary,1950,133911,75
 MA - Springfield,1950,162399,76
 CT - Hartford,1950,177397,77
 CT - Bridgeport,1950,158709,78
 NJ - Paterson,1950,139336,79
 OH - Youngstown,1950,168330,80
 IN - Evansville,1950,128636,81
 TN - Nashville,1950,174307,82
 CT - New Haven,1950,164443,83
 PA - Erie,1950,130803,84
 IN - South Bend,1950,115911,85
 NY - Albany,1950,134995,86
 NJ - Trenton,1950,128009,87
 PA - Scranton,1950,125536,88
 NJ - Camden,1950,124555,89
 MA - Cambridge,1950,120740,90
 GA - Savannah,1950,119638,91
 OH - Canton,1950,116912,92
 CA - Berkeley,1950,113805,93
 NJ - Elizabeth,1950,112817,94
 MA - Fall River,1950,111963,95
 IL - Peoria,1950,111856,96
 DE - Wilmington,1950,110356,97
 PA - Reading,1950,109320,98
 MA - New Bedford,1950,109189,99
 PA - Allentown,1950,106756,100
 NY - New York City,1940,7454995,1
 CA - Los Angeles,1940,1504277,2
 IL - Chicago,1940,3396808,3
 TX - Houston,1940,384514,4
 PA - Philadelphia,1940,1931334,5
 CA - San Diego,1940,203341,6
 MI - Detroit,1940,1623452,7
 TX - Dallas,1940,294734,8
 TX - San Antonio,1940,253854,9
 MD - Baltimore,1940,859100,10
 IN - Indianapolis,1940,386972,11
 CA - San Francisco,1940,634536,12
 FL - Jacksonville,1940,173065,13
 OH - Columbus,1940,306087,14
 WI - Milwaukee,1940,587472,15
 TN - Memphis,1940,292942,16
 DC - Washington,1940,663091,17
 MA - Boston,1940,770816,18
 WA - Seattle,1940,368302,19
 TX - El Paso,1940,96810,20
 OH - Cleveland,1940,878336,21
 LA - New Orleans,1940,494537,22
 CO - Denver,1940,322412,23
 TX - Fort Worth,1940,177662,24
 OK - Oklahoma City,1940,204424,25
 OR - Portland,1940,305394,26
 MO - Kansas City,1940,399178,27
 CA - Long Beach,1940,164271,28
 MO - St. Louis,1940,816048,29
 NC - Charlotte,1940,100899,30
 GA - Atlanta,1940,302288,31
 CA - Oakland,1940,302163,32
 PA - Pittsburgh,1940,671659,33
 CA - Sacramento,1940,105958,34
 MN - Minneapolis,1940,492370,35
 OK - Tulsa,1940,142157,36
 OH - Cincinnati,1940,455610,37
 FL - Miami,1940,172172,38
 NE - Omaha,1940,223844,39
 OH - Toledo,1940,282349,40
 NY - Buffalo,1940,575901,41
 KS - Wichita,1940,114966,42
 FL - Tampa,1940,108391,43
 NJ - Newark,1940,429760,44
 MN - Saint Paul,1940,287736,45
 KY - Louisville,1940,319077,46
 AL - Birmingham,1940,267583,47
 VA - Norfolk,1940,144332,48
 NY - Rochester,1940,324975,49
 NJ - Jersey City,1940,301173,50
 OH - Akron,1940,244791,51
 VA - Richmond,1940,193042,52
 LA - Shreveport,1940,98167,53
 IA - Des Moines,1940,159819,54
 MI - Grand Rapids,1940,164292,55
 NY - Yonkers,1940,142598,56
 OH - Dayton,1940,210718,57
 WA - Spokane,1940,122001,58
 WA - Tacoma,1940,109408,59
 AR - Little Rock,1940,88039,60
 IN - Fort Wayne,1940,118410,61
 TN - Knoxville,1940,111580,62
 NY - Syracuse,1940,205967,63
 TN - Chattanooga,1940,128163,64
 UT - Salt Lake City,1940,149934,65
 MA - Worcester,1940,193694,66
 KS - Kansas City,1940,121458,67
 MI - Flint,1940,151543,68
 RI - Providence,1940,253504,69
 IN - Gary,1940,111719,70
 MA - Springfield,1940,149554,71
 CT - Hartford,1940,166267,72
 CT - Bridgeport,1940,147121,73
 NJ - Paterson,1940,139656,74
 OH - Youngstown,1940,167720,75
 IN - Evansville,1940,97062,76
 TN - Nashville,1940,167402,77
 CT - New Haven,1940,160605,78
 PA - Erie,1940,116955,79
 IN - South Bend,1940,101268,80
 NY - Albany,1940,130577,81
 NJ - Trenton,1940,124697,82
 PA - Scranton,1940,140404,83
 NJ - Camden,1940,117536,84
 MA - Cambridge,1940,110879,85
 GA - Savannah,1940,95996,86
 OH - Canton,1940,108401,87
 NJ - Elizabeth,1940,109912,88
 MA - Fall River,1940,115428,89
 IL - Peoria,1940,105087,90
 DE - Wilmington,1940,112504,91
 PA - Reading,1940,110568,92
 MA - New Bedford,1940,110341,93
 PA - Allentown,1940,96904,94
 MA - Somerville,1940,102177,95
 MA - Lowell,1940,101389,96
 MN - Duluth,1940,101065,97
 NY - Utica,1940,100518,98
 CT - Waterbury,1940,99314,99
 MA - Lynn,1940,98123,100
 NY - New York City,1930,6930446,1
 CA - Los Angeles,1930,1238048,2
 IL - Chicago,1930,3376438,3
 TX - Houston,1930,292352,4
 PA - Philadelphia,1930,1950961,5
 CA - San Diego,1930,147995,6
 MI - Detroit,1930,1568662,7
 TX - Dallas,1930,260475,8
 TX - San Antonio,1930,231542,9
 MD - Baltimore,1930,804874,10
 IN - Indianapolis,1930,364161,11
 CA - San Francisco,1930,634394,12
 FL - Jacksonville,1930,129549,13
 OH - Columbus,1930,290564,14
 WI - Milwaukee,1930,578249,15
 TN - Memphis,1930,253143,16
 DC - Washington,1930,486869,17
 MA - Boston,1930,781188,18
 WA - Seattle,1930,365583,19
 TX - El Paso,1930,102421,20
 OH - Cleveland,1930,900429,21
 LA - New Orleans,1930,458762,22
 CO - Denver,1930,287861,23
 TX - Fort Worth,1930,163447,24
 OK - Oklahoma City,1930,185389,25
 OR - Portland,1930,301815,26
 MO - Kansas City,1930,399746,27
 CA - Long Beach,1930,142032,28
 MO - St. Louis,1930,821960,29
 GA - Atlanta,1930,270366,30
 CA - Oakland,1930,284063,31
 PA - Pittsburgh,1930,669817,32
 CA - Sacramento,1930,93750,33
 MN - Minneapolis,1930,464356,34
 OK - Tulsa,1930,141258,35
 OH - Cincinnati,1930,451160,36
 FL - Miami,1930,110637,37
 NE - Omaha,1930,214006,38
 OH - Toledo,1930,290718,39
 NY - Buffalo,1930,573076,40
 KS - Wichita,1930,111110,41
 FL - Tampa,1930,101161,42
 NJ - Newark,1930,442337,43
 MN - Saint Paul,1930,271606,44
 KY - Louisville,1930,307745,45
 AL - Birmingham,1930,259678,46
 VA - Norfolk,1930,129710,47
 NY - Rochester,1930,328132,48
 NJ - Jersey City,1930,316715,49
 OH - Akron,1930,255040,50
 VA - Richmond,1930,182929,51
 IA - Des Moines,1930,142559,52
 MI - Grand Rapids,1930,168592,53
 NY - Yonkers,1930,134646,54
 OH - Dayton,1930,200982,55
 WA - Spokane,1930,115514,56
 WA - Tacoma,1930,106817,57
 IN - Fort Wayne,1930,114946,58
 TN - Knoxville,1930,105802,59
 NY - Syracuse,1930,209326,60
 TN - Chattanooga,1930,119798,61
 UT - Salt Lake City,1930,140267,62
 MA - Worcester,1930,195311,63
 KS - Kansas City,1930,121857,64
 MI - Flint,1930,156492,65
 RI - Providence,1930,252981,66
 IN - Gary,1930,100426,67
 MA - Springfield,1930,149900,68
 CT - Hartford,1930,164072,69
 CT - Bridgeport,1930,146716,70
 IL - Rockford,1930,85864,71
 NJ - Paterson,1930,138513,72
 OH - Youngstown,1930,170002,73
 IN - Evansville,1930,102249,74
 TN - Nashville,1930,153866,75
 CT - New Haven,1930,162655,76
 PA - Erie,1930,115967,77
 IN - South Bend,1930,104193,78
 NY - Albany,1930,127412,79
 NJ - Trenton,1930,123356,80
 PA - Scranton,1930,143433,81
 NJ - Camden,1930,118700,82
 MA - Cambridge,1930,113643,83
 OH - Canton,1930,104906,84
 NJ - Elizabeth,1930,114589,85
 MA - Fall River,1930,115274,86
 IL - Peoria,1930,104969,87
 DE - Wilmington,1930,106597,88
 PA - Reading,1930,111171,89
 MA - New Bedford,1930,112597,90
 PA - Allentown,1930,92563,91
 MA - Somerville,1930,103908,92
 MA - Lowell,1930,100234,93
 MN - Duluth,1930,101463,94
 NY - Utica,1930,101740,95
 CT - Waterbury,1930,99902,96
 MA - Lynn,1930,102320,97
 NY - Schenectady,1930,95692,98
 NJ - Bayonne,1930,88979,99
 PA - Wilkes-Barre,1930,86626,100
 NY - New York City,1920,5620048,1
 CA - Los Angeles,1920,576673,2
 IL - Chicago,1920,2701705,3
 TX - Houston,1920,138276,4
 PA - Philadelphia,1920,1823779,5
 CA - San Diego,1920,74683,6
 MI - Detroit,1920,993078,7
 TX - Dallas,1920,158976,8
 TX - San Antonio,1920,161379,9
 MD - Baltimore,1920,733826,10
 IN - Indianapolis,1920,314194,11
 CA - San Francisco,1920,506676,12
 FL - Jacksonville,1920,91558,13
 OH - Columbus,1920,237031,14
 WI - Milwaukee,1920,457147,15
 TN - Memphis,1920,162351,16
 DC - Washington,1920,437571,17
 MA - Boston,1920,748060,18
 WA - Seattle,1920,315312,19
 TX - El Paso,1920,77560,20
 OH - Cleveland,1920,796841,21
 LA - New Orleans,1920,387219,22
 CO - Denver,1920,256491,23
 TX - Fort Worth,1920,106482,24
 OK - Oklahoma City,1920,91295,25
 OR - Portland,1920,258288,26
 MO - Kansas City,1920,324410,27
 MO - St. Louis,1920,772897,28
 GA - Atlanta,1920,200616,29
 CA - Oakland,1920,216261,30
 PA - Pittsburgh,1920,588343,31
 MN - Minneapolis,1920,380582,32
 OK - Tulsa,1920,72075,33
 OH - Cincinnati,1920,401247,34
 NE - Omaha,1920,191601,35
 OH - Toledo,1920,243164,36
 NY - Buffalo,1920,506775,37
 KS - Wichita,1920,72217,38
 NJ - Newark,1920,414524,39
 MN - Saint Paul,1920,234698,40
 KY - Louisville,1920,234891,41
 AL - Birmingham,1920,178806,42
 VA - Norfolk,1920,115777,43
 NY - Rochester,1920,295750,44
 NJ - Jersey City,1920,298103,45
 OH - Akron,1920,208435,46
 VA - Richmond,1920,171667,47
 IA - Des Moines,1920,126468,48
 MI - Grand Rapids,1920,137634,49
 NY - Yonkers,1920,100176,50
 OH - Dayton,1920,152559,51
 WA - Spokane,1920,104437,52
 WA - Tacoma,1920,96965,53
 IN - Fort Wayne,1920,86549,54
 TN - Knoxville,1920,77818,55
 NY - Syracuse,1920,171717,56
 UT - Salt Lake City,1920,118110,57
 MA - Worcester,1920,179754,58
 KS - Kansas City,1920,101177,59
 MI - Flint,1920,91599,60
 RI - Providence,1920,237595,61
 MA - Springfield,1920,129614,62
 CT - Hartford,1920,138036,63
 CT - Bridgeport,1920,143555,64
 NJ - Paterson,1920,135875,65
 OH - Youngstown,1920,132358,66
 IN - Evansville,1920,85264,67
 TN - Nashville,1920,118342,68
 CT - New Haven,1920,162537,69
 PA - Erie,1920,93372,70
 IN - South Bend,1920,70983,71
 NY - Albany,1920,113344,72
 NJ - Trenton,1920,119289,73
 PA - Scranton,1920,137783,74
 NJ - Camden,1920,116309,75
 MA - Cambridge,1920,109694,76
 GA - Savannah,1920,83252,77
 OH - Canton,1920,87091,78
 NJ - Elizabeth,1920,95783,79
 MA - Fall River,1920,120485,80
 IL - Peoria,1920,76121,81
 DE - Wilmington,1920,110168,82
 PA - Reading,1920,107784,83
 MA - New Bedford,1920,121217,84
 PA - Allentown,1920,73502,85
 MA - Somerville,1920,93091,86
 MA - Lowell,1920,112759,87
